actual_tweet,sentiment
West Bengal Chief Minister MamataBanerjee retaliated with allegations regarding the RafaleDeal following Prime Mi,neutral
Really We have bunch of Fing Idiots who would break bharat just to oppose NarendraModi and his governmen,negative
WonderfulPM NarendraModi to serve AkshayaPatra s 3 billionth meal to underprivileged kids in Vrindavan on Mon,neutral
What has PM Modi done for women in 5 years A look at his schemes amp claims WomenEmpowerment NarendraModi Ge,neutral
Live PM Narendra Modi jiHindustaan ki janta Come to Jalpaiguri and see the support for,positive
Today modi ji is like NarendraModi LokSabha,neutral
india PM NarendraModi arrived in Assam capital Guwahati evening amid tight security even as different agitating organisations,negative
sumi That shows NarendraModi ji personality Culture education custom and family tradition,neutral
RT if you want NAMO againNaMoAgain2019 NarendraModi BJP,neutral
shinde99 GlobalWaming has started hitting India but our championofearth NarendraModi n devendrafadanvis want to run bullet,neutral
PM NarendraModi Welcomed by ModiGoBack Slogans BlackFlags by CitizenshipBill Protesters in Assam,neutral
Pappu gave him 9000 croresNarendraModi recovered more then 13000 crores and counting,neutral
Live PM Narendra Modi jiHindustaan ki janta Come to Jalpaiguri and see the support for,positive
singh Maam Pappu420 must do debate with smritiirani If he will successful against then he mus,positive
While Rahul Gandhi will stay up all night wondering what new lies to peddle tomorrowmorning we leave you with th,positive
pappuphirfail what happened during ModiParliamentSpeech Pappu420 was ab,neutral
Modi Go Back Slogans Made at Tirupati University 2 Days Ahead of PM Narendra Modis Rally at Guntur AndhraPradesh,neutral
Modi Go Back Slogans Made at Tirupati University 2 Days Ahead of PM Narendra Modis Rally at Guntur,neutral
What a moment AASU raised black flags as PM NarendraModi passes by on his arrival in Guwahati The protestors ag,negative
Live PM Narendra Modi jiHindustaan ki janta Come to Jalpaiguri and see the support for,positive
Prime Minister Narendra Modi was shown black flag today at Guwahati by members of various organizations led by All,negative
forNaMo ModiAgain Mobile Wallpaper for fans Simple and soft pink girls might like more please share on w,neutral
Live PM Narendra Modi jiHindustaan ki janta Come to Jalpaiguri and see the support for,positive
india PM NarendraModi arrived in Assam capital Guwahati evening amid tight security even as different agitating organisations,negative
What has PM Modi done for women in 5 years A look at his schemes amp claims WomenEmpowerment NarendraModi Ge,neutral
We the mining dependents of Goa are facing many problems due to mining ban in Goanow one years got completed since,positive
One year has passed and still there is no solution on mining issues Restart mining operation in Goa GoaMining RestartG,neutral
We want Old Pension scheme ops npsgoback narendramodi rahulgandhi sushrimayawati akhileshyadav yogiadityanath,positive
Live PM Narendra Modi jiHindustaan ki janta Come to Jalpaiguri and see the support for,positive
forNaMo The IncorruptiblePradhanSevak modi NarendraModi NaMo NaMoAgain ModiFor2019,neutral
forNaMo The IncorruptiblePradhanSevak modi NarendraModi NaMo NaMoAgain ModiFor2019,neutral
NarendraModi ji Please i have a request to you Please take some strict action against CONGRESS n rahul gandhi As,positive
Resume Goa Mining and bring smile on face of Mining dependants RestartGoaMining GoaMining NarendraModi AmitShah sur,positive
KherkiDaulaToll Road from Dwarka express to Toll is again closed after wall demolition by CMs order Think there is no re,negative
What has PM Modi done for women in 5 years A look at his schemes amp claims WomenEmpowerment NarendraModi Ge,neutral
india PM NarendraModi arrived in Assam capital Guwahati evening amid tight security even as different agitating organisations,negative
india PM NarendraModi arrived in Assam capital Guwahati evening amid tight security even as different agitating organisations,negative
Look What is cooking in PMO Narendra Modi is a pro in destroying all institutions and crossing all limits of lying Frid,negative
MamataBanerjee Friday said she supported the views of the Congress on the Rafaledeal referring to Prime Minister Naren,neutral
MamataBanerjee Friday said she supported the views of the Congress on the Rafaledeal referring to Prime Minist,neutral
Good step Ladakh and Kargil together come under a newly created Revenue Administrative LadakhDivision with sepa,positive
Prime Minister NarendraModi to visit Guwahati Itanagar and Agartala tomorrow on a 2 day visit to NorthEast,neutral
Prime Minister NarendraModi has firmly asserted that the centre will not go back from implementation of TripleTalaq Le,negative
communism PeoplesBrigade Over 1 million people attended a communist rally in Kolkata PeoplesBrigade K,neutral
Thiss reaction from PM of an Islamic country Pakistan who took attack on a Hindu temple seriously amp tweete,negative
When has NarendraModi ever spoken like a PMEven when abroad he spoke like a RSSBJP leaderJobsDebate,neutral
