actual_tweet,sentiment
New TShirt Bloody Pablo pabloescobar plataoplomo colombia narcos Bogota france,negative
NARCOS x 40s amp Shorties AVIATION RUGBYblackhouse075 netflix narcos40sandshorties BLACK HOUSE,negative
NARCOS x 40s amp Shorties Special collaborationblackhouse075 netflix narcos40sandshorties BLACK HOUSE,positive
you should start watching narcosIt will be phun,neutral
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
But no matter how you decorate it a cage is still a cage HostelDiaries Narcos,neutral
Directed by star in their own film in Narcos ft special guest,positive
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
NARCOS x 40s amp Shorties MUERTE JACKETblackhouse075 narcos40sampShorties BLACK HOUSE,negative
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
I swear I was going to bed but then Narcos happened IBlameNetflix,neutral
When is Narcos new season coming Netflix,positive
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
Ive just watched episode S02E07 of Narcos narcos tvtime,neutral
Ive just watched episode S01E02 of Narcos narcos tvtime,neutral
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
I swear I was going to bed but then Narcos happened IBlameNetflix,neutral
I swear I was going to bed but then Narcos happened IBlameNetflix,neutral
Which one should I watch firstNarcos HouseOfCards,neutral
New IGBeautiful smile amp beautiful wordingMauriceCompte Narcos MayansFX Mayans MayansMC TheLastShip TheLastShi,positive
The Rise and Fall of the Cali Cartel by Ron Chepesuik are the subject of the netflix series narcos 3 It is the f,negative
Dont let the negative comments dissuade you from watching Im going to watch again Not binge but watch,negative
Ive just watched episode S01E01 of Narcos narcos tvtime,neutral
New IGBeautiful smile amp beautiful wordingMauriceCompte Narcos MayansFX Mayans MayansMC TheLastShip TheLastShi,positive
New IGBeautiful smile amp beautiful wordingMauriceCompte Narcos MayansFX Mayans MayansMC TheLastShip,positive
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
The bad guys need to get lucky every time The good guys just need to get lucky once Thoughtful Narcos,positive
Really glad to be back in our motherland of Colombia You might have seen the famous se,positive
Time to beast through Narcos again before season 2 starts Narcos,neutral
The bad guys need to get lucky every time The good guys just need to get lucky once Thoughtful Narcos,positive
Only 10 more days before Narcos Season 4 Mexico Narcos Visit the website to see the LIVE countdown,positive
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
Ive just watched episode S02E06 of Narcos narcos tvtime,neutral
Ive just watched episode S02E05 of Narcos narcos tvtime,neutral
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o,negative
The Rise and Fall of the Cali Cartel by Ron Chepesuik are the subject of the netflix series narcos 3 It is the f,negative
Directly into my top 5 favorite series Narcos,positive
seems to have the LGBT agenda at the core of their programmingMy favourite shows Spartacus Narcos,neutral
